colour,id,dayofweek-month-dayofmonth,daynumber,unixtimeint,hour
#5F5252,1152741935776788742_529372811,FriJan1,1,1451637568,00
#070505,1152741942285213082_502051702,FriJan1,1,1451637569,00
#727474,1152742075012012489_640223893,FriJan1,1,1451637585,00
#412C2C,1152742071967466270_394044399,FriJan1,1,1451637585,00
#2C3131,1152742168409461236_10412611,FriJan1,1,1451637596,00
#453737,1152742222916159393_229865192,FriJan1,1,1451637603,00
#2D2B2B,1152742314415158408_1490274540,FriJan1,1,1451637614,00
#552222,1152742364972254273_286343520,FriJan1,1,1451637620,00
#693E3E,1152742398180697689_20911512,FriJan1,1,1451637623,00
#715B5B,1152742461515709527_20667510,FriJan1,1,1451637631,00
#3D3636,1152742468174226519_1406380520,FriJan1,1,1451637632,00
#474545,1152742593768778800_21915826,FriJan1,1,1451637647,00
#090707,1152742639310538538_2139360832,FriJan1,1,1451637652,00
#533D3D,1152742633063375616_1302298127,FriJan1,1,1451637652,00
#B68D8D,1152742662172412903_623928681,FriJan1,1,1451637655,00
#583E3E,1152742709106068215_547893089,FriJan1,1,1451637661,00
#351F1F,1152742830404308953_50192082,FriJan1,1,1451637675,00
#464141,1152742862543983473_266244931,FriJan1,1,1451637679,00
#3C2C2C,1152742878394384696_353670959,FriJan1,1,1451637681,00
#F1F2F2,1152742885276421151_1375694258,FriJan1,1,1451637682,00
#794A4A,1152743010074014155_192949523,FriJan1,1,1451637696,00
#3F2626,1152743183337284255_1771175,FriJan1,1,1451637717,00
#474747,1152743226321013085_366016665,FriJan1,1,1451637722,00
#493636,1152743230866747855_281165795,FriJan1,1,1451637723,00
#9B8181,1152743230665880342_234676243,FriJan1,1,1451637723,00
#544343,1152743271790530340_615319850,FriJan1,1,1451637728,00
#947474,1152743307010487121_282816131,FriJan1,1,1451637732,00
